term,definition,source,page
Abhanavarana,Screening the outshining Brahman; one of the two Avarana Saktis which is removed by Aparoksha Jnana.,Glossary_Sanskrit_Terms.pdf,3
Abhasa,"Reflection, appearance, semblance, not true.",Glossary_Sanskrit_Terms.pdf,3
Abhasamatra,In name only.,Glossary_Sanskrit_Terms.pdf,3
Abhasavada,Doctrine holding that all creation is reflection of the Supreme Reality.,Glossary_Sanskrit_Terms.pdf,3
Abhati,"Shines, illumines.",Glossary_Sanskrit_Terms.pdf,3
Abhava,"In which one’s self is meditated upon as zero or, as bereft of every quality or limitation whatsoever; absence; non-existence; negation.",Glossary_Sanskrit_Terms.pdf,3
Abhavamatra,Of a merely negative character.,Glossary_Sanskrit_Terms.pdf,3
Abhavana,Non-thought.,Glossary_Sanskrit_Terms.pdf,3
Abhava padartha,"A thing which cannot have existence in reality, viz., horn of a hare, son of a barren woman.",Glossary_Sanskrit_Terms.pdf,3
Abhavarupavritti,The function of thinking of a non- existent thing.,Glossary_Sanskrit_Terms.pdf,3
Abhayadana,Gift (boon) of fearlessness.,Glossary_Sanskrit_Terms.pdf,3
Abhayam,Fearlessness.,Glossary_Sanskrit_Terms.pdf,3
Abheda,Non-difference.,Glossary_Sanskrit_Terms.pdf,3
Abheda-ahamkara,The pure ego that identifies itself with Brahman or the Absolute.,Glossary_Sanskrit_Terms.pdf,3
Abheda-bhakti,Highest devotion that has culminated in the identity of the worshipper and the worshipped; devotion without the sense of duality.,Glossary_Sanskrit_Terms.pdf,3
Abheda-buddhi,The Buddhi that beholds unity.,Glossary_Sanskrit_Terms.pdf,3
Abheda-chaitanya,Constant thought of the identity of the soul with Brahman; undivided Consciousness.,Glossary_Sanskrit_Terms.pdf,3
Abheda-jnana,Knowledge of the identity of the individual with the Absolute (Atman and Brahman).,Glossary_Sanskrit_Terms.pdf,4
Abhedabhava,Sense of non-separateness.,Glossary_Sanskrit_Terms.pdf,4
Abhigamana,Approach to the temple.,Glossary_Sanskrit_Terms.pdf,4
Abhijna,Direction; perception or recollection assisted by memory.,Glossary_Sanskrit_Terms.pdf,4
Abhijna-Jnana,Knowledge through perception.,Glossary_Sanskrit_Terms.pdf,4
Abhimana,Egoism; identification with the body.,Glossary_Sanskrit_Terms.pdf,4
Abhimani,One who has egoistic feeling.,Glossary_Sanskrit_Terms.pdf,4
Abhinaya,Controlling; training; disciplining.,Glossary_Sanskrit_Terms.pdf,4
Abhinivesa,Clinging to earthly life; will to live.,Glossary_Sanskrit_Terms.pdf,4
Abhivimana,As identical with himself; an epithet of the unlimited Supreme Being.,Glossary_Sanskrit_Terms.pdf,4
Abhivyakta,Manifested.,Glossary_Sanskrit_Terms.pdf,4
Abhokta,Non-enjoyer.,Glossary_Sanskrit_Terms.pdf,4
Abhyantara,Internal.,Glossary_Sanskrit_Terms.pdf,4
Abhyasa,Repetition; practice; one of the Shad Lingas.,Glossary_Sanskrit_Terms.pdf,4
Abhyasin,Yoga-practitioner; one who studies Veda.,Glossary_Sanskrit_Terms.pdf,4
Abhyudaya,Exaltation.,Glossary_Sanskrit_Terms.pdf,4
Abuddhi-purva,Unintelligent; insentient.,Glossary_Sanskrit_Terms.pdf,4
Achala,Not moving; fixed.,Glossary_Sanskrit_Terms.pdf,4
Achamana,Sipping water from the hollowed palm o the hand; a preliminary simple rite connected with ritualistic worship.,Glossary_Sanskrit_Terms.pdf,4
Achara,"Right conduct, custom, practice, external observance of established rules and laws.",Glossary_Sanskrit_Terms.pdf,4
Acharana,Observance of right conduct.,Glossary_Sanskrit_Terms.pdf,4
Acheta,Unintelligent.,Glossary_Sanskrit_Terms.pdf,4
Achetana,Unconscious.,Glossary_Sanskrit_Terms.pdf,4
Achintya,Unthinkable.,Glossary_Sanskrit_Terms.pdf,5
Achintya Sakti,Inscrutable power.,Glossary_Sanskrit_Terms.pdf,5
Achit Sakti (of Brahman),Tamas or great darkness; the root of matter.,Glossary_Sanskrit_Terms.pdf,5
Achit,Inanimate matter.,Glossary_Sanskrit_Terms.pdf,5
Achit vastu,Non-sentient matter.,Glossary_Sanskrit_Terms.pdf,5
Achyuta,The indestructible; the unchanging.,Glossary_Sanskrit_Terms.pdf,5
Adambhitva,Unpretentiousness.,Glossary_Sanskrit_Terms.pdf,5
